,rebound_probability,rsi,stoch_k,williams_r,mfi,dist_from_52w_low,pct_in_52w_range,oversold_composite,reversal_composite,volume_ratio,stoch_cross_up,mfi_turning_up,latest_close
7735.T,0.570608961820543,70.59722892753764,90.74702886247877,-9.252971137521222,63.703165333374095,2.0841316303360315,0.9566665875078274,0.0,1.0,1.363824413858684,0.0,0.0,17805.0
6954.T,0.10734466724903591,49.55801862656797,56.830309498399146,-43.169690501600854,53.40274374258113,0.5580663774079964,0.6333610414382034,0.0,1.0,0.9484317819464153,0.0,0.0,7355.0
8035.T,0.10422152173099385,65.73260689795,83.4894036471168,-16.510596352883194,65.8130994430442,1.5905335674153458,0.9339491383566533,0.0,1.0,1.0020201315218065,0.0,0.0,77150.0
6645.T,0.09950178036845854,51.646085771580495,53.48837209302326,-46.51162790697674,68.48636086122643,0.590320283337358,0.7869102129634454,0.0,1.0,0.9092009608094246,0.0,0.0,5800.0
6963.T,0.09406777910488484,55.60846071823305,67.69340974212034,-32.306590257879655,55.3370201089249,1.7825155855905386,0.8843607609600804,0.0,0.0,0.8268366460028241,0.0,0.0,5384.0
6503.T,0.059061073491974425,46.63412588957992,58.125,-41.875,59.148266040519914,0.47656897315575925,0.7007209541701296,0.0,1.0,0.7651846591136812,0.0,0.0,5876.0
4519.T,0.04856974308992091,48.74519030337274,72.27991326029563,-27.720086739704374,52.63810453071188,0.13027294797605804,0.22043022210015126,0.0,0.0,1.0057780503936802,0.0,0.0,7534.0
7974.T,0.04500076236896295,40.77510419238493,33.25153374233129,-66.74846625766871,26.885640508336152,0.0414119804400978,0.03472138088141544,0.0,1.0,0.8640819412473624,0.0,1.0,6815.0
6702.T,0.04071748915421668,45.86815953526408,45.63106796116505,-54.36893203883495,33.726650755573445,0.07659151193633952,0.1441969679576197,0.0,2.0,0.8148498441280583,0.0,1.0,3247.0
6588.T,0.040265741992583,37.705382565895206,7.9326923076923075,-92.0673076923077,34.38807324879363,0.13377523216839168,0.39957530787951484,2.0,0.0,0.9125585788498565,0.0,0.0,2837.0
6861.T,0.039455454098304976,62.69062527030053,90.54054054054055,-9.45945945945946,50.951062601428625,0.5809808267360334,0.9054654668023437,0.0,1.0,1.6156011454251944,0.0,0.0,81060.0
4307.T,0.035560808990130886,51.75609802319797,78.87323943661971,-21.12676056338028,43.13960386743054,0.3182935549186673,0.378551980801662,0.0,2.0,0.984386438245657,0.0,1.0,4592.0
6758.T,0.031070736273335307,46.654887116299136,58.59649122807018,-41.40350877192982,43.31525857510498,0.07788366743345383,0.1382410908067625,0.0,2.0,0.9879279290317837,0.0,1.0,3280.0
9984.T,0.02994225947528363,42.49017030068707,13.614262560777957,-86.38573743922204,43.97355924232988,0.7745386716247488,0.45551824012018866,2.0,1.0,0.9235302746060788,1.0,0.0,5963.0
7203.T,0.025349499527894705,39.211211090260385,15.694164989939638,-84.30583501006036,34.688653507668334,0.014519731943410276,0.031067915899044472,2.0,1.0,1.2558614335391742,0.0,0.0,2725.0
9022.T,0.022801265722153977,52.38415856845472,85.03184713375796,-14.968152866242038,41.89167705346274,0.08338538413491568,0.16587030617698184,0.0,1.0,1.199980692185162,0.0,0.0,3469.0
4063.T,0.022609820586932516,45.904006604273256,42.35946159936659,-57.64053840063341,57.21974584967796,0.6191065924386608,0.744008854122294,0.0,1.0,0.764855432776917,0.0,0.0,7008.0
4523.T,0.02227667776187786,57.14939024717388,90.0,-10.0,68.59767397635898,0.12540983606557377,0.2917991099809282,0.0,1.0,0.9401749162634909,0.0,0.0,4119.0
7011.T,0.016444660292614013,42.93240106227704,37.91606367583213,-62.08393632416787,50.545497248384514,0.07696827262044653,0.14643352992027253,0.0,1.0,0.8731605463921244,0.0,0.0,3666.0
3382.T,0.016025140595180475,57.47576340489616,86.23188405797102,-13.768115942028986,50.944646604467295,0.08061844284925455,0.25228358154850666,0.0,1.0,1.0921686946693712,0.0,0.0,1957.0
6367.T,0.014136031975594,63.91422399739924,93.61233480176212,-6.387665198237886,78.50151543113789,0.4332158492664238,0.8599664995828777,0.0,1.0,1.1966026601135435,0.0,0.0,24685.0
6098.T,0.013581969611756728,64.80572650632061,70.81545064377683,-29.184549356223176,44.173922436232864,0.8794316363557372,0.9257846967890637,0.0,1.0,0.9447259387806356,0.0,0.0,11330.0
8306.T,0.013444784931574945,53.47540366033289,40.445859872611464,-59.554140127388536,55.73504623465247,0.4604090225580002,0.8439117043857061,0.0,0.0,0.6765824701352269,0.0,0.0,3207.0
8058.T,0.012565699018799838,27.78625732269714,1.6853932584269662,-98.31460674157303,36.18757191344676,0.2604518872904725,0.35043069115659475,3.0,2.0,0.97892587043379,0.0,1.0,4347.0
6146.T,0.012442415360529525,54.85737241254148,58.71632329635499,-41.28367670364501,65.66872761348475,0.9287670226375527,0.789705066118894,0.0,1.0,0.6541939226629858,0.0,0.0,81260.0
6770.T,0.01209102773450846,43.86192386334831,31.379962192816635,-68.62003780718337,47.89348165626802,0.09372671315676366,0.3371761157904288,0.0,2.0,1.028926100889044,1.0,0.0,2045.0
4543.T,0.011573922669653264,50.53028593955298,60.55363321799308,-39.44636678200692,45.290120238338936,0.18412249794753124,0.4825278449577577,0.0,1.0,1.1516090350935881,0.0,0.0,2234.0
6501.T,0.011447888724985675,35.277958755069974,9.315589353612168,-90.68441064638783,40.573214803524905,0.018915223336371922,0.051347858271152604,2.0,1.0,0.9243574618167905,0.0,1.0,4471.0
4502.T,0.010840206290091099,54.7013072103936,83.76623376623377,-16.233766233766232,69.97724035564686,0.2665559815238432,0.5527043431412346,0.0,1.0,1.0577239059871557,0.0,0.0,5155.0
8411.T,0.01041080959941142,53.84288187636555,42.871690427698574,-57.128309572301426,46.28527488868474,0.6158477706916738,0.840265970523981,0.0,1.0,0.762942726441343,0.0,0.0,7743.0
