ticker,breakout_probability,rsi,macd_hist,bb_squeeze_ratio,volume_ratio,breakout_composite,squeeze_expansion,ma_short_dev,ma_mid_dev,latest_close,latest_volume
7974.T,0.36920076891748843,59.46327472746325,-38.73885357663568,0.5535014291792134,0.5609361272857931,1.0,0.0,-1.045631633155699,4.071492488108125,8839.0,5577200
6146.T,0.3510324491710193,35.10175338939587,-454.0886159312722,1.113959342394382,0.9409690859823432,0.0,1.0,-2.184064947194482,-9.884567525350134,54460.0,1291800
6963.T,0.22728858963305693,52.23693489076815,7.674099473242679,0.624024854799104,1.0679159260171542,1.0,0.0,1.1771067298893678,2.2729183834782436,4865.0,3403400
6954.T,0.12437525376682702,40.832441760615396,-5.788369509700658,1.0376568066590814,0.9789378918089356,0.0,0.0,0.6584976748922335,-4.77367893749839,5931.0,5339000
6503.T,0.1176490360363015,35.95852136942058,-51.94287710384019,1.1338900010974848,1.4279170187149322,0.0,1.0,-2.5983667409057167,-7.966637906241009,5248.0,7714900
9984.T,0.11369240240932278,53.80847692231192,25.66371308635098,0.9073430929535051,2.1554942613313357,3.0,0.0,7.59518035184972,3.8631904393840317,5590.0,77803600
8035.T,0.11172615801975674,38.64421618657419,84.23303928911969,0.9702340208719642,0.9253682464421236,0.0,1.0,-1.6780379863544166,-4.651545388868617,53320.0,2599600
7735.T,0.1027623756863621,41.93787509399556,48.62953943703326,0.7803380201147652,0.7170464601518264,0.0,1.0,-1.6009666213562905,-2.610021525950735,13030.0,1576000
6702.T,0.0866892932311302,59.80539648106036,3.9441064273224526,0.8415147710579305,1.3024345546323712,1.0,0.0,0.973487986743991,5.158708758911531,3900.0,7988300
4307.T,0.08659763897052952,56.933582210543186,16.88004473338107,0.6951206427979675,0.7980771525197241,1.0,0.0,0.12219337100961578,5.2048726467331035,5244.0,1839500
7011.T,0.08386416585565595,40.40928905385073,-42.915137225832815,1.0656286370475547,0.9622346559165728,0.0,0.0,-1.3040277631717299,-6.108687822641958,3754.0,15016100
8411.T,0.08051224708221574,62.12109835832211,42.36613759369071,1.0351328973584615,1.155431619786615,1.0,0.0,0.86448705568585,4.322226555440361,8774.0,9815900
2802.T,0.0790951932122221,42.499725125670615,-28.198558502471144,0.7074510789633622,1.1150726946121219,0.0,0.0,-1.6985218679940655,-2.906426866433474,5174.0,3479300
6758.T,0.074263892765119,56.694402726713385,-4.014593213558811,0.8911488248569541,0.8240783689340831,1.0,0.0,-1.705292986539826,2.415800240420099,3885.0,12054400
8058.T,0.06695894736840009,55.192290769983856,18.47690076178398,1.309829731177304,1.7315444128345345,1.0,0.0,-0.2888409747365815,2.236608297391314,4902.0,12672100
6501.T,0.06542700017372224,52.12316158905263,-26.258485925784797,0.9006601777597495,0.7796589077347561,1.0,0.0,-0.5842547054690745,-1.1595417714445362,5377.0,8019400
6770.T,0.0644310372005926,55.87034639319095,6.558013314197531,0.979318844234126,0.9944932898129433,1.0,0.0,-0.7995782444424839,3.0692545052858264,2258.0,1392400
6645.T,0.063440460484517,47.22625210183614,-73.93452388898376,0.5592322922716281,0.7017919015272761,0.0,0.0,-2.4325172630257375,-3.299362898810411,6217.0,1050200
8306.T,0.06071176692528088,64.45594338324713,17.35794878093725,1.1745932583001468,1.4702573966553945,1.0,0.0,1.730903617696073,5.108524204118811,3785.0,53609400
7203.T,0.06025548546162311,52.21319934533398,-0.9103007921588784,0.966734811160078,0.9379984849934203,1.0,0.0,-2.066115702479339,1.1005886869721002,3081.0,21768900
6861.T,0.05706132008839536,41.57768253226025,-825.4114041758605,0.9916138636001707,1.2421801835549728,0.0,1.0,-2.767352249412,-6.1221137260775595,77720.0,663200
6920.T,0.05197047879567334,38.490316017126965,-27.574822000679887,0.7483558416359413,1.149186124249672,0.0,0.0,-0.024105098228275283,-10.746949579289412,33180.0,3214400
6588.T,0.05144712266886559,42.479725504254034,-20.528477695225067,1.1059819400109028,0.6546057174423422,0.0,0.0,-2.4462224554039844,-4.910759946813947,2975.0,94800
7741.T,0.04680433834221523,37.82858277210509,-111.21458094608079,1.041294826931998,1.0460084424031646,0.0,0.0,-1.4774304138437677,-4.632475526022608,24140.0,985000
4063.T,0.04330436262459749,32.28187388461134,-0.8391339339571573,1.0093177307076093,1.1635982418071158,0.0,1.0,-1.9521453263742938,-4.820497973364215,5786.0,6593000
8031.T,0.040797477192559856,53.43682815875574,23.89380374741244,1.360598834620151,1.9582831825574523,1.0,0.0,-1.9649972654113672,2.0594909836265534,5019.0,11348300
4502.T,0.0396355978673916,53.54058727801585,-5.288748585428877,0.7125178226528198,1.3996030987925314,1.0,0.0,-1.1342155009451798,1.6416729092168323,5753.0,5384700
5108.T,0.03901754962510513,44.56775102824883,-31.40614686023123,0.7300199240102117,0.9492868545433678,0.0,0.0,-3.0924303958506654,-3.062073556332166,3961.0,3639300
6098.T,0.036168003255698536,55.34775417196234,-177.18978671586,0.5620702591689897,1.3650250737069003,1.0,0.0,-4.201333569363309,3.5091746043890164,16235.0,6130000
9022.T,0.03147685722578125,47.45946089385618,-10.584218788114711,0.736025133467838,0.9463097877732024,0.0,0.0,-2.022049484326574,-0.9186284281589469,3857.0,2031500
4523.T,0.031086689675876078,47.26123839629499,-32.98732721265314,0.6850691684712984,1.1334165288471088,0.0,0.0,-1.1081616314835958,-2.1112603331637163,4694.0,1312400
